Gene Name,Ensembl ID
Apoe,ENSMUSG00000002985
Atg5,ENSMUSG00000038160
Atg7,ENSMUSG00000030314
Becn1,ENSMUSG00000035086
C1qb,ENSMUSG00000036905
C1qtnf6,ENSMUSG00000022440
C3,ENSMUSG00000024164
C3ar1,ENSMUSG00000040552
C4bp,ENSMUSG00000026405
C5ar1,ENSMUSG00000049130
C5ar2,ENSMUSG00000074361
C8a,ENSMUSG00000035031
C8g,ENSMUSG00000015083
Casp1,ENSMUSG00000025888
Casp8,ENSMUSG00000026029
Cd46,ENSMUSG00000016493
Cd55,ENSMUSG00000026399
Cd59a,ENSMUSG00000032679
Cfb,ENSMUSG00000090231
Cfh,ENSMUSG00000026365
Cfi,ENSMUSG00000058952
Cfp,ENSMUSG00000001128
Clu,ENSMUSG00000022037
Cr2,ENSMUSG00000026616
Ctsb,ENSMUSG00000021939
Ctsd,ENSMUSG00000007891
Ctss,ENSMUSG00000038642
Ddb1,ENSMUSG00000024740
Gabarap,ENSMUSG00000018567
Gpnmb,ENSMUSG00000029816
Hsp90aa1,ENSMUSG00000021270
Irf3,ENSMUSG00000003184
Irf7,ENSMUSG00000025498
Lamp1,ENSMUSG00000031447
Masp1,ENSMUSG00000022887
Masp2,ENSMUSG00000028979
Mtor,ENSMUSG00000028991
Nlrp3,ENSMUSG00000032691
Serping1,ENSMUSG00000023224
Sqstm1,ENSMUSG00000015837
Stat3,ENSMUSG00000004040
Tfeb,ENSMUSG00000023990
Thbd,ENSMUSG00000074743
Tlr2,ENSMUSG00000027995
Tlr4,ENSMUSG00000039005
Ulk1,ENSMUSG00000029512
Vdac1,ENSMUSG00000020402
Vwf,ENSMUSG00000001930
